,1,2,3,4,5,CY,Z_count_1,Z_count_2,Z_count_3,Z_count_4,Z_count_5,Z_count_6,Z_min,Z_T,Z_max,Z_min_61,Z_max_61,Z_min_c,Z_T_c,Z_max_c,Z_min_61_c,Z_max_61_c,F_count_1,F_count_2,F_count_3,F_count_4,F_count_5,F_count_6,F_min,F_T,F_max,F_min_56,F_max_56,F_min_c,F_T_c,F_max_c,F_min_56_c,F_max_56_c
109,1,1,4,1,2,1,3,1,0,1,0,0,0,3,3,0,3,0,3,3,0,3,3,4,3,4,3,3,3,4,4,3,3,3,4,4,3,3
110,1,1,4,1,3,1,3,0,1,1,0,0,0,3,3,0,3,0,3,3,0,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3
111,1,1,4,1,4,1,3,0,0,2,0,0,0,3,3,0,3,0,3,3,0,3,3,3,3,5,3,3,3,3,5,3,3,3,3,5,3,3
112,1,1,4,1,5,1,3,0,0,1,1,0,0,3,3,0,3,0,3,3,0,3,3,3,3,4,4,3,3,3,4,3,4,3,3,4,3,4
113,1,1,4,1,6,1,3,0,0,1,0,1,0,3,3,1,3,0,3,3,1,3,3,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4
114,1,1,4,2,1,1,3,1,0,1,0,0,0,3,3,0,3,0,3,3,0,3,3,4,3,4,3,3,3,4,4,3,3,3,4,4,3,3
115,1,1,4,2,2,1,2,2,0,1,0,0,0,2,2,0,2,0,2,2,0,2,2,4,2,3,2,2,2,4,4,2,2,2,4,4,2,2
116,1,1,4,2,3,1,2,1,1,1,0,0,0,2,2,0,2,0,2,2,0,2,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2
117,1,1,4,2,4,1,2,1,0,2,0,0,0,2,2,0,2,0,2,2,0,2,2,3,2,4,2,2,2,3,4,2,2,2,3,4,2,2
118,1,1,4,2,5,1,2,1,0,1,1,0,0,2,2,0,2,0,2,2,0,2,2,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3
119,1,1,4,2,6,1,2,1,0,1,0,1,0,2,2,1,2,0,2,2,1,2,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3
120,1,1,4,3,1,1,3,0,1,1,0,0,0,3,3,0,3,0,3,3,0,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3
121,1,1,4,3,2,1,2,1,1,1,0,0,0,2,2,0,2,0,2,2,0,2,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2
122,1,1,4,3,3,1,2,0,2,1,0,0,0,2,2,0,2,0,2,2,0,2,2,2,4,3,2,2,2,2,4,2,2,2,2,4,2,2
123,1,1,4,3,4,1,2,0,1,2,0,0,0,2,2,0,2,0,2,2,0,2,2,2,3,4,2,2,2,2,4,2,2,2,2,4,2,2
124,1,1,4,3,5,1,2,0,1,1,1,0,0,2,2,0,2,0,2,2,0,2,2,2,3,3,3,2,2,2,3,2,3,2,2,3,2,3
125,1,1,4,3,6,1,2,0,1,1,0,1,0,2,2,1,2,0,2,2,1,2,2,2,3,3,2,3,2,2,3,2,3,2,2,3,2,3
126,1,1,4,4,1,1,3,0,0,2,0,0,0,3,3,0,3,0,3,3,0,3,3,3,3,5,3,3,3,3,5,3,3,3,3,5,3,3
127,1,1,4,4,2,1,2,1,0,2,0,0,0,2,2,0,2,0,2,2,0,2,2,3,2,4,2,2,2,3,4,2,2,2,3,4,2,2
128,1,1,4,4,3,1,2,0,1,2,0,0,0,2,2,0,2,0,2,2,0,2,2,2,3,4,2,2,2,2,4,2,2,2,2,4,2,2
129,1,1,4,4,4,1,2,0,0,3,0,0,0,2,3,0,2,0,2,3,0,2,2,2,2,5,2,2,2,2,5,2,2,2,2,5,2,2
130,1,1,4,4,5,1,2,0,0,2,1,0,0,2,2,0,2,0,2,2,0,2,2,2,2,4,3,2,2,2,4,2,3,2,2,4,2,3
131,1,1,4,4,6,1,2,0,0,2,0,1,0,2,2,1,2,0,2,2,1,2,2,2,2,4,2,3,2,2,4,2,3,2,2,4,2,3
132,1,1,4,5,1,1,3,0,0,1,1,0,0,3,3,0,3,0,3,3,0,3,3,3,3,4,4,3,3,3,4,3,4,3,3,4,3,4
133,1,1,4,5,2,1,2,1,0,1,1,0,0,2,2,0,2,0,2,2,0,2,2,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3
134,1,1,4,5,3,1,2,0,1,1,1,0,0,2,2,0,2,0,2,2,0,2,2,2,3,3,3,2,2,2,3,2,3,2,2,3,2,3
135,1,1,4,5,4,1,2,0,0,2,1,0,0,2,2,0,2,0,2,2,0,2,2,2,2,4,3,2,2,2,4,2,3,2,2,4,2,3
136,1,1,4,5,5,1,2,0,0,1,2,0,0,2,2,0,2,0,2,2,0,2,2,2,2,3,4,2,2,2,4,2,4,2,2,4,2,4
137,1,1,4,5,6,1,2,0,0,1,1,1,0,2,2,1,2,0,2,2,1,2,2,2,2,3,3,3,2,2,3,3,3,2,2,3,3,3
138,1,1,4,6,1,1,3,0,0,1,0,1,0,3,3,1,3,0,3,3,1,3,3,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4
139,1,1,4,6,2,1,2,1,0,1,0,1,0,2,2,1,2,0,2,2,1,2,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3
140,1,1,4,6,3,1,2,0,1,1,0,1,0,2,2,1,2,0,2,2,1,2,2,2,3,3,2,3,2,2,3,2,3,2,2,3,2,3
141,1,1,4,6,4,1,2,0,0,2,0,1,0,2,2,1,2,0,2,2,1,2,2,2,2,4,2,3,2,2,4,2,3,2,2,4,2,3
142,1,1,4,6,5,1,2,0,0,1,1,1,0,2,2,1,2,0,2,2,1,2,2,2,2,3,3,3,2,2,3,3,3,2,2,3,3,3
143,1,1,4,6,6,1,2,0,0,1,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,3,2,4,2,2,4,2,4,2,2,4,2,4
144,1,1,5,1,1,1,4,0,0,0,1,0,0,4,4,0,4,0,4,4,0,4,4,4,4,4,5,4,4,4,5,4,5,4,4,5,4,5
